dist,under_h0,n,estimator,q,weight,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Pareto(a=3.0,s=1.0)",False,160,trimmed,1,laplace_1.0,1.0,0.005025000000000001,0.04760323473353581,0.38488609850013744,0.01826365684935035,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,trimmed,2,gauss_0.5,1.0,0.005025000000000001,0.0012270901875614565,0.40249464199987417,0.015371261928227693,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,trimmed,2,gauss_1.0,1.0,0.005475,0.0018114203657205797,0.396649528500202,0.019175982855278932,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,trimmed,2,laplace_1.0,1.0,0.005025000000000001,0.0056306796635187395,0.39179445249974376,0.035653991175078344,200,0.0
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_0.5,0.03,0.4554890219560878,0.0010776797983360587,2.448075050000043,0.1500730335835291,200,0.012062338081814818
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,0.06,0.4919161676646706,0.007087901373277659,2.6210783874999923,0.17800109620941607,200,0.016792855623746664
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,0.03,0.485,0.026427148701185628,2.7773064109999814,0.11403122746781505,200,0.012062338081814818
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_0.5,0.025,0.4569,8.739606058014269e-06,0.3119433930004015,0.04064808485944572,200,0.011039701082909808
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,0.04,0.490825,0.0004828175377861871,0.2899605829999927,0.0563900284870048,200,0.013856406460551017
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,0.055,0.427575,0.00828505766544355,0.32123453499982135,0.02238440480986858,200,0.016120638945153507
"Uniforme(1.0,3.0)",True,20,median,1,gauss_0.5,0.115,0.441575,0.03310642972995219,0.053566162500428574,0.004081834151023924,200,0.022558257911461158
"Uniforme(1.0,3.0)",True,20,median,1,gauss_1.0,0.07,0.52525,0.042000231922855215,0.05539843849990571,0.00602985650963902,200,0.01804161855266872
"Uniforme(1.0,3.0)",True,20,median,1,laplace_1.0,0.065,0.49439999999999995,0.05495298366403303,0.05322354449992412,0.003674252590745419,200,0.017432010784760317
"Uniforme(1.0,3.0)",True,20,median,2,gauss_0.5,0.07,0.514425,0.001822572365488746,0.06128937800058333,0.004700615327976521,200,0.01804161855266872
"Uniforme(1.0,3.0)",True,20,median,2,gauss_1.0,0.08,0.48692500000000005,0.0045945850588725735,0.059101791000575714,0.006002499646850539,200,0.01918332609325088
"Uniforme(1.0,3.0)",True,20,median,2,laplace_1.0,0.07,0.440725,0.009577454307716497,0.06344102000031848,0.00349222269606042,200,0.01804161855266872
"Uniforme(1.0,3.0)",True,20,trimmed,1,gauss_0.5,0.02,0.496975,0.006211032622577708,0.05408475349984651,0.0023650383464301804,200,0.009899494936611665
"Uniforme(1.0,3.0)",True,20,trimmed,1,gauss_1.0,0.035,0.49770000000000003,0.010945196377666859,0.05464667049964187,0.0021317771477866246,200,0.012995191418367026
"Uniforme(1.0,3.0)",True,20,trimmed,1,laplace_1.0,0.04,0.483725,0.027803191559928404,0.05657245150025115,0.0022051371616456546,200,0.013856406460551017
"Uniforme(1.0,3.0)",True,20,trimmed,2,gauss_0.5,0.01,0.5217499999999999,6.66347558306936e-05,0.060553969499960614,0.003626938685959919,200,0.007035623639735145
"Uniforme(1.0,3.0)",True,20,trimmed,2,gauss_1.0,0.025,0.48625,0.0006508296559500305,0.06309065350018496,0.004026500751398976,200,0.011039701082909808
"Uniforme(1.0,3.0)",True,20,trimmed,2,laplace_1.0,0.025,0.49815,0.009426637907276164,0.061944315999644416,0.0033268118457803787,200,0.011039701082909808
"Uniforme(1.0,3.0)",True,40,argmin,1,gauss_0.5,0.07,0.4841516966067864,0.0007949365517814068,3.4823100955000337,0.25785957700251005,200,0.01804161855266872
"Uniforme(1.0,3.0)",True,40,argmin,1,gauss_1.0,0.08,0.4446307385229541,0.006465228597236517,3.694336844500067,0.14275310146106476,200,0.01918332609325088
"Uniforme(1.0,3.0)",True,40,argmin,1,laplace_1.0,0.085,0.4733932135728543,0.022301641005998758,4.096984108000006,0.13675602640359052,200,0.01971991379291502
"Uniforme(1.0,3.0)",True,40,argmin,2,gauss_0.5,0.055,0.481325,4.38111751992735e-06,0.30920694599997656,0.008213618891542955,200,0.016120638945153507
"Uniforme(1.0,3.0)",True,40,argmin,2,gauss_1.0,0.05,0.48485,0.00037227857989837485,0.32693030849972277,0.02518407481279792,200,0.015411035007422441
