dist,under_h0,n,estimator,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Gamma(k=2.0,s=1.0)",False,20,median,0.13,0.45859614105123087,0.4874628190949542,0.034903647333300494,0.009562756243137537,300,0.0194164878389476
"Gamma(k=2.0,s=1.0)",False,20,trimmed,0.02666666666666667,0.5616433799068529,0.3965293880099628,0.13916778866666088,0.030286174721042395,300,0.009301533127313934
"Gamma(k=2.0,s=1.0)",False,40,argmin,0.25333333333333335,0.2726280771789754,0.4593208301394571,0.7060987150000073,0.08134293094018787,300,0.025110127807689838
"Gamma(k=2.0,s=1.0)",False,40,median,0.16333333333333333,0.3461942781104458,0.5810685200559398,0.03723271633330114,0.016061693492133045,300,0.02134287980846349
"Gamma(k=2.0,s=1.0)",False,40,trimmed,0.14,0.2969328010645376,0.5083361338720671,0.13927956866670685,0.027742979983436288,300,0.020033305601755626
"Gamma(k=2.0,s=1.0)",False,80,argmin,0.59,0.09411177644710579,0.6117509308443176,0.878851733333319,0.08923094709393267,300,0.028396009109262755
"Gamma(k=2.0,s=1.0)",False,80,median,0.47,0.14035262807717896,0.8107609808417988,0.04279115833330555,0.010377648170846918,300,0.02881550508551487
"Gamma(k=2.0,s=1.0)",False,80,trimmed,0.5433333333333333,0.09656686626746507,0.6557269344018134,0.15531757600004917,0.03707516770242578,300,0.02875889556422628
"Gamma(k=2.0,s=1.0)",False,160,argmin,0.9833333333333333,0.00644045242847638,0.8364224411145366,2.0927333790000255,1.3402702940713538,300,0.007391185942027828
"Gamma(k=2.0,s=1.0)",False,160,median,0.86,0.028463073852295406,1.1144393520710065,0.051494456666666036,0.012120446644970707,300,0.020033305601755626
"Gamma(k=2.0,s=1.0)",False,160,trimmed,0.9633333333333334,0.01315369261477046,0.8780590969734201,0.1612546680000287,0.0273952009753044,300,0.010850840554571826
"Pareto(a=3.0,s=1.0)",False,20,argmin,0.29,0.23658682634730538,0.4945437010237035,0.7276834070000192,0.28896315210302026,300,0.026197964297504744
