dist,under_h0,n,estimator,q,weight,rep,statistic,p_value,reject,theta_hat,time_s
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,52,0.007197564288187181,0.775,False,2.0320834309151063,0.8714787000008073
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,55,0.0047980549485824074,0.81,False,1.9680193641522108,0.8729170999995404
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,54,0.007973977573361284,0.85,False,1.9333933158374927,0.8937267000001157
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,56,0.02386174761207204,0.6,False,2.023176155152011,0.8788716999988537
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,57,0.024872327872971972,0.175,False,2.0638198354137267,0.8655886999986251
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,58,0.01677176569101871,0.61,False,2.03050019749025,0.8691738999987138
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,1,9.07642212631736e-05,0.655,False,2.004217660141842,0.38156940000044415
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,59,0.03492960521700601,0.09,False,2.263504314864754,0.8944645000010496
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,2,1.5293680255086182e-05,0.68,False,2.0058894425859006,0.386166599999342
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,3,1.0770445591309632e-05,0.9,False,2.103582576397426,0.3717484999997396
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,5,0.0016868319124925877,0.54,False,2.1354818409592045,0.36816149999867775
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,4,0.00037044762207544637,0.235,False,1.9675674193455648,0.38934010000048147
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,6,0.0008438131489071803,0.03,True,2.2637726552984776,0.38977429999977176
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,9,0.00010528433996775767,0.735,False,1.9520429438259945,0.38092909999977564
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,7,0.00021438354424446485,0.58,False,2.185973531600248,0.3916518999994878
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,8,1.8104221953764873e-06,0.945,False,2.122747044309255,0.40047950000007404
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,10,0.00046549011524270377,0.665,False,1.9193192453276697,0.40384459999950195
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,11,0.0013400652412969417,0.02,True,2.29007596895663,0.38091779999922437
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,12,9.228231734938537e-06,0.86,False,2.1311942966911253,0.3880086000008305
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,13,0.0003241000614423959,0.55,False,2.0003080269157083,0.38424879999911354
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,14,0.0006814736145686804,0.06,False,2.188436769469467,0.3994177000004129
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,15,0.0014694957921483408,0.545,False,2.153532334639311,0.40037149999989197
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,16,9.262725516507285e-05,0.74,False,2.1104860512113515,0.3834521000007953
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,17,0.00012971171245576565,0.775,False,1.8714756597247564,0.3763591999995697
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,18,0.0008620777912017752,0.045,True,2.339258043255813,0.3942643999998836
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,19,1.349466877251992e-06,0.935,False,1.9993724065841652,0.38602329999957874
