dist,under_h0,n,estimator,rep,statistic,p_value,reject,theta_hat,time_s
"Uniforme(1.0,3.0)",True,20,median,77,0.5590169943749475,0.16,False,1.693333322835333,0.010236100000838633
"Uniforme(1.0,3.0)",True,20,median,78,0.223606797749979,0.965,False,1.9992207996544002,0.01043630000003759
"Uniforme(1.0,3.0)",True,20,median,79,0.4472135954999579,0.59,False,1.966646898904121,0.011435299999902782
"Uniforme(1.0,3.0)",True,20,trimmed,0,0.22360679774997919,0.845,False,2.012125754950638,0.04908210000030522
"Uniforme(1.0,3.0)",True,20,trimmed,1,0.5590169943749476,0.125,False,1.8666003344228401,0.04687149999972462
"Uniforme(1.0,3.0)",True,20,trimmed,2,0.3354101966249685,0.755,False,2.0577018679552723,0.052111799999693176
"Uniforme(1.0,3.0)",True,20,trimmed,3,0.3354101966249685,0.86,False,2.073251825205172,0.04931289999967703
"Uniforme(1.0,3.0)",True,20,trimmed,4,0.3354101966249685,0.625,False,1.8950913077187264,0.04331899999942834
"Uniforme(1.0,3.0)",True,20,trimmed,5,0.3354101966249685,0.825,False,2.097091297143754,0.04428809999990335
"Uniforme(1.0,3.0)",True,20,trimmed,6,0.3354101966249685,0.845,False,2.240022809792049,0.047697599999992235
"Uniforme(1.0,3.0)",True,20,trimmed,7,0.3354101966249684,0.79,False,2.1401907368362094,0.04754119999961404
"Uniforme(1.0,3.0)",True,20,trimmed,8,0.5590169943749475,0.105,False,2.0441826838098045,0.048557699999946635
"Uniforme(1.0,3.0)",True,20,trimmed,9,0.3354101966249685,0.765,False,1.671507296149613,0.04475170000023354
"Uniforme(1.0,3.0)",True,20,trimmed,10,0.670820393249937,0.03,True,2.4460110329740754,0.05260679999992135
"Uniforme(1.0,3.0)",True,20,trimmed,11,0.22360679774997919,0.91,False,2.019517939738558,0.048348100000112026
"Uniforme(1.0,3.0)",True,20,trimmed,12,0.3354101966249685,0.76,False,2.1797521591074442,0.043931700000030105
"Uniforme(1.0,3.0)",True,20,trimmed,13,0.3354101966249685,0.705,False,1.9517934977993534,0.0448246999994808
"Uniforme(1.0,3.0)",True,20,trimmed,14,0.5590169943749475,0.205,False,1.9729038592569843,0.04624450000028446
"Uniforme(1.0,3.0)",True,20,trimmed,15,0.22360679774997902,0.96,False,1.9919786664630674,0.04797309999958088
"Uniforme(1.0,3.0)",True,20,trimmed,16,0.447213595499958,0.21,False,2.2692669914814516,0.05314679999992222
"Uniforme(1.0,3.0)",True,20,trimmed,17,0.3354101966249685,0.78,False,2.2393192457159534,0.044580300000234274
"Uniforme(1.0,3.0)",True,20,trimmed,18,0.44721359549995787,0.43,False,2.1282723785190782,0.04738089999955264
"Uniforme(1.0,3.0)",True,20,trimmed,19,0.22360679774997919,0.965,False,1.9875001855862935,0.04344229999969684
"Uniforme(1.0,3.0)",True,20,trimmed,20,0.22360679774997919,0.955,False,2.068662159398099,0.045872000000599655
"Uniforme(1.0,3.0)",True,20,trimmed,21,0.22360679774997905,0.945,False,1.9264655547014962,0.04446219999954337
"Uniforme(1.0,3.0)",True,20,trimmed,22,0.44721359549995787,0.38,False,2.016614769263596,0.04231029999937164
"Uniforme(1.0,3.0)",True,20,trimmed,23,0.4472135954999581,0.175,False,1.8743763461174638,0.04937359999985347
"Uniforme(1.0,3.0)",True,20,trimmed,24,0.22360679774997919,0.945,False,1.988403923149515,0.04427810000015597
"Uniforme(1.0,3.0)",True,20,trimmed,25,0.447213595499958,0.275,False,2.1258533261008874,0.045352299999649404
"Uniforme(1.0,3.0)",True,20,trimmed,26,0.4472135954999581,0.37,False,2.0821998613630264,0.04596719999972265
"Uniforme(1.0,3.0)",True,20,trimmed,27,0.3354101966249685,0.775,False,2.0230576488381815,0.047747599999638624
"Uniforme(1.0,3.0)",True,20,trimmed,28,0.22360679774997905,0.95,False,1.9527670728208801,0.04728019999947719
"Uniforme(1.0,3.0)",True,20,trimmed,29,0.223606797749979,0.98,False,2.103526314554523,0.053088100000422855
"Uniforme(1.0,3.0)",True,20,trimmed,30,0.4472135954999581,0.31,False,2.1618730999147298,0.05379189999985101
"Uniforme(1.0,3.0)",True,20,trimmed,31,0.3354101966249685,0.82,False,1.8707584724813129,0.04778639999949519
"Uniforme(1.0,3.0)",True,20,trimmed,32,0.3354101966249685,0.765,False,1.594496185786199,0.0466681999996581
"Uniforme(1.0,3.0)",True,20,trimmed,33,0.3354101966249685,0.83,False,2.199860238478508,0.04496519999975135
"Uniforme(1.0,3.0)",True,20,trimmed,34,0.5590169943749475,0.22,False,2.244627395870408,0.04706939999960014
"Uniforme(1.0,3.0)",True,20,trimmed,35,0.22360679774997894,1.0,False,2.0408237851269897,0.04830529999981081
"Uniforme(1.0,3.0)",True,20,trimmed,36,0.33541019662496857,0.48,False,2.1184467697106584,0.048011099999712314
"Uniforme(1.0,3.0)",True,20,trimmed,37,0.3354101966249685,0.745,False,1.9661737661214453,0.045646100000340084
